Scenario,LSTM MAE,LSTM R²,Ridge MAE,Ridge R²,ES MAE,ES R²,Ensemble MAE,Ensemble R²
Low,0.13700188053195045,0.46910166326576647,0.15469144639262852,0.2602344167443597,0.032016088180664176,0.8756813296721084,0.10451570290483198,0.7338231980466514
Medium,0.07541107616406291,0.8432414641578828,0.12114736921846064,-8.535543674397532,0.04631615737941938,0.8080581608077879,0.07350465068869218,-0.4990712893240199
High,0.058403240790412966,0.866471235942602,0.024803179241676937,0.9698214757926321,0.12027307834148548,0.38768087251625727,0.04191509508110256,0.9338697820714051
